Time (s),Red,IR
9.620,31210.0,112258.0
9.630,31202.0,112301.0
9.640,31219.0,112342.0
9.650,31209.0,112354.0
9.660,31198.0,112177.0
9.670,31182.0,111923.0
9.680,31153.0,111846.0
9.690,31171.0,111868.0
9.700,31155.0,111887.0
9.710,31169.0,111919.0
9.720,31177.0,111931.0
9.730,31183.0,111905.0
9.740,31193.0,111872.0
9.750,31202.0,111883.0
9.760,31206.0,111919.0
9.770,31199.0,111962.0
9.780,31207.0,112014.0
9.790,31206.0,112065.0
9.800,31213.0,112037.0
9.810,31186.0,111770.0
9.820,31152.0,111580.0
9.830,31140.0,111535.0
9.840,31114.0,111534.0
9.850,31130.0,111555.0
9.860,31134.0,111589.0
9.870,31132.0,111589.0
9.880,31155.0,111547.0
9.890,31142.0,111553.0
9.900,31143.0,111575.0
9.910,31157.0,111613.0
9.920,31145.0,111667.0
9.930,31160.0,111739.0
9.940,31165.0,111740.0
9.950,31150.0,111510.0
9.960,31120.0,111265.0
9.970,31091.0,111182.0
9.980,31076.0,111191.0
